iter	Logloss
0	0.6639478381
1	0.6360361526
2	0.6162628752
3	0.5863741776
4	0.5579793643
5	0.5378488889
6	0.5149672094
7	0.4986578947
8	0.4791792247
9	0.4676683236
10	0.4514574839
11	0.4366599066
12	0.4241623377
13	0.4122628081
14	0.403545385
15	0.3921559383
16	0.3853842067
17	0.3781599567
18	0.3707783234
19	0.364356659
20	0.3575154374
21	0.3532653597
22	0.3506895837
23	0.3467596295
24	0.3415961263
25	0.3380802742
26	0.3351807109
27	0.3332069524
28	0.3297925195
29	0.3267780027
30	0.3250089629
31	0.3225604621
32	0.3169579914
33	0.3147568004
34	0.3131814077
35	0.3089161999
36	0.3069354521
37	0.3041107416
38	0.301196953
39	0.2995589483
40	0.2984560177
41	0.2969795531
42	0.2938364711
43	0.2917058682
44	0.2908117608
45	0.28962038
46	0.2878340489
47	0.2860047
48	0.2848858792
49	0.2830839204
50	0.2822867763
51	0.2805653343
52	0.2793452336
53	0.2780002537
54	0.2772179311
55	0.2764853035
56	0.2758074627
57	0.2751493842
58	0.2746362818
59	0.273441968
60	0.2728230612
61	0.2721333908
62	0.2715569517
63	0.2709595474
64	0.268961473
65	0.2678391066
66	0.2668710208
67	0.2657745106
68	0.2654914558
69	0.2646112615
70	0.263812904
71	0.2633067979
72	0.262113926
73	0.2617446442
74	0.2607196542
75	0.2602311567
76	0.259080007
77	0.2586966615
78	0.2580025849
79	0.2570670593
80	0.256646832
81	0.2563333788
82	0.2557295063
83	0.2549034848
84	0.2541325055
85	0.25340281
86	0.2523366486
87	0.2517109613
88	0.2509432028
89	0.2506056729
90	0.2500111873
91	0.2496809461
92	0.2491874012
93	0.248734671
94	0.2480840056
95	0.2473855811
96	0.2469250362
97	0.2462290799
98	0.2458535312
99	0.2452907763
100	0.2448121451
101	0.2443523818
102	0.2438014396
103	0.2433626473
104	0.2426840228
105	0.2424473083
106	0.2420874597
107	0.2411579299
108	0.240433038
109	0.2397186436
110	0.2394892215
111	0.2392214111
112	0.2389430429
113	0.2386227273
114	0.2383277354
115	0.2381443922
116	0.2378491565
117	0.2374835653
118	0.2371485666
119	0.2368622352
120	0.2361225376
121	0.2357406643
122	0.2353173569
123	0.2349225114
124	0.2346666586
125	0.2341340981
126	0.2339658699
127	0.2335595315
128	0.2331662831
129	0.2328855875
130	0.2324504921
131	0.2312336809
132	0.2309302914
133	0.2307145637
134	0.2305198519
135	0.2302379958
136	0.2295935681
137	0.2295551106
138	0.2292355996
139	0.2289849625
140	0.2288397017
141	0.2286566521
142	0.2282090156
143	0.2277338658
144	0.2274243415
145	0.2271313081
146	0.2266805506
147	0.2262626988
148	0.2259784164
149	0.2253658329
150	0.2248330745
151	0.2246990107
152	0.2245207333
153	0.2245200882
154	0.2242094076
155	0.223895971
156	0.2237657991
157	0.2236058688
158	0.2232517687
159	0.223090286
160	0.2224040701
161	0.2220042096
162	0.2212594714
163	0.2208811256
164	0.22047225
165	0.2202817957
166	0.22008054
167	0.2200446682
168	0.2199145937
169	0.219687501
170	0.2194027658
171	0.2191778491
172	0.2189680252
173	0.2186599475
174	0.2181955867
175	0.2181534524
176	0.2180042738
177	0.2178982625
178	0.2178979096
179	0.2177141709
180	0.2172784367
181	0.2169120811
182	0.2166773326
183	0.2162492494
184	0.2161121376
185	0.2158733
186	0.2156239815
187	0.2154789914
188	0.2154106903
189	0.2151997119
190	0.2150628944
191	0.2147591919
192	0.2146482896
193	0.2143525578
194	0.2141718543
195	0.2139284289
196	0.2137332925
197	0.213483834
198	0.2132142398
199	0.2131500845
200	0.21289428
201	0.2126851092
202	0.2125930416
203	0.2123800646
204	0.2122136976
