iter	Passed	Remaining
0	21	21751
1	43	21860
2	63	20955
3	82	20482
4	102	20423
5	122	20260
6	145	20655
7	167	20802
8	189	20905
9	219	21686
10	238	21410
11	254	20928
12	271	20603
13	286	20184
14	302	19853
15	318	19570
16	336	19445
17	355	19408
18	371	19183
19	387	18998
20	403	18789
21	417	18579
22	432	18369
23	448	18241
24	500	19513
25	539	20206
26	561	20220
27	564	19605
28	579	19389
29	593	19192
30	607	18980
31	621	18799
32	638	18705
33	655	18633
34	671	18504
35	685	18360
36	700	18239
37	717	18154
38	731	18028
39	746	17917
40	764	17892
41	781	17834
42	797	17743
43	811	17626
44	827	17557
45	843	17487
46	858	17404
47	873	17321
48	885	17192
49	902	17156
50	917	17080
51	932	17003
52	946	16920
53	963	16874
54	981	16860
55	1002	16895
56	1022	16924
57	1040	16904
58	1047	16699
59	1062	16651
60	1080	16626
61	1095	16573
62	1109	16497
63	1125	16458
64	1140	16402
65	1155	16348
66	1169	16292
67	1183	16225
68	1200	16197
69	1213	16127
70	1228	16071
71	1243	16027
72	1258	15980
73	1273	15939
74	1290	15913
75	1304	15862
76	1321	15837
77	1337	15806
78	1352	15765
79	1367	15725
80	1382	15683
81	1395	15621
82	1400	15477
83	1416	15448
84	1431	15410
85	1446	15370
86	1459	15316
87	1475	15296
88	1491	15264
89	1551	15689
90	1570	15686
91	1589	15689
92	1608	15690
93	1623	15644
94	1638	15609
95	1652	15559
96	1667	15524
97	1683	15491
98	1697	15446
99	1712	15409
100	1728	15383
101	1741	15333
102	1755	15286
103	1769	15240
104	1784	15208
105	1798	15169
106	1859	15516
107	1883	15553
108	1898	15515
109	1913	15483
110	1929	15454
111	1944	15419
112	1960	15387
113	1973	15339
114	1989	15307
115	2001	15250
116	2024	15281
117	2056	15372
118	2074	15360
119	2093	15349
120	2109	15323
121	2126	15300
122	2142	15274
123	2161	15271
124	2184	15288
125	2205	15301
126	2230	15330
127	2249	15326
128	2268	15318
129	2288	15314
130	2304	15289
131	2321	15268
132	2337	15237
133	2358	15243
134	2378	15241
135	2394	15213
136	2409	15180
137	2425	15148
138	2441	15125
139	2457	15093
140	2473	15066
141	2480	14986
142	2495	14956
143	2510	14924
144	2533	14936
145	2549	14910
146	2604	15114
147	2624	15107
148	2642	15094
149	2659	15072
150	2676	15047
151	2697	15048
152	2703	14965
153	2719	14938
154	2733	14904
155	2751	14883
156	2767	14860
157	2782	14827
158	2797	14794
159	2811	14760
160	2826	14727
161	2841	14696
162	2857	14672
163	2864	14600
164	2883	14589
165	2897	14556
166	2909	14513
167	2924	14483
168	2944	14476
169	2967	14486
170	2985	14472
171	3001	14448
172	3022	14450
173	3039	14427
174	3055	14404
175	3060	14327
176	3078	14314
177	3099	14312
178	3115	14288
179	3130	14262
180	3146	14237
181	3162	14212
182	3178	14192
183	3195	14171
184	3214	14162
185	3222	14102
186	3235	14066
187	3250	14037
188	3265	14010
189	3282	13992
190	3298	13973
191	3313	13943
192	3327	13914
193	3342	13888
194	3357	13858
195	3370	13827
196	3385	13801
197	3402	13781
198	3416	13753
199	3430	13723
200	3435	13657
201	3449	13627
202	3466	13611
203	3483	13591
204	3492	13542
205	3514	13546
206	3533	13535
207	3550	13518
208	3568	13506
209	3586	13490
210	3649	13647
211	3678	13673
212	3703	13685
213	3725	13681
214	3747	13681
215	3762	13657
216	3778	13635
217	3795	13615
218	3813	13598
219	3829	13578
220	3845	13556
221	3866	13548
222	3887	13544
223	3904	13524
224	3918	13498
225	3935	13478
226	3953	13462
227	3969	13440
228	3980	13400
229	3995	13376
230	4010	13350
231	4026	13330
232	4042	13308
233	4057	13282
234	4076	13268
235	4091	13245
236	4107	13223
237	4128	13219
238	4147	13206
239	4162	13179
240	4179	13163
241	4197	13146
242	4212	13122
243	4227	13098
244	4244	13080
245	4261	13060
246	4275	13034
247	4290	13010
248	4306	12987
249	4320	12962
250	4335	12938
251	4351	12916
252	4368	12898
253	4383	12874
254	4398	12850
255	4413	12827
256	4429	12804
257	4443	12778
258	4460	12760
259	4475	12736
260	4489	12712
261	4504	12688
262	4519	12665
263	4535	12644
264	4548	12616
265	4557	12575
266	4573	12556
267	4589	12536
268	4604	12513
269	4620	12492
270	4636	12473
271	4690	12554
272	4713	12551
273	4733	12541
274	4758	12546
275	4777	12533
276	4798	12525
277	4817	12512
278	4835	12496
279	4858	12494
280	4876	12477
281	4893	12460
282	4910	12440
283	4925	12417
284	4941	12398
285	4958	12378
286	4974	12359
287	4989	12335
288	5005	12314
289	5020	12292
290	5036	12270
291	5051	12248
292	5068	12229
293	5084	12208
294	5098	12184
295	5113	12162
296	5128	12139
297	5141	12112
298	5158	12093
299	5179	12084
300	5206	12089
301	5228	12083
302	5247	12071
303	5265	12056
304	5282	12038
305	5299	12018
306	5316	12000
307	5333	11983
308	5349	11962
309	5368	11949
310	5386	11933
311	5402	11913
312	5420	11897
313	5435	11876
314	5451	11855
315	5486	11874
316	5505	11862
317	5525	11850
318	5547	11843
319	5563	11823
320	5582	11808
321	5597	11785
322	5613	11766
323	5628	11742
324	5644	11722
325	5659	11701
326	5769	11874
327	5790	11864
328	5811	11852
329	5833	11843
330	5854	11833
331	5868	11807
332	5883	11784
333	5899	11764
334	5915	11742
335	5937	11732
336	5959	11724
337	5981	11714
338	6002	11703
339	6021	11688
340	6041	11675
341	6058	11656
342	6083	11651
343	6108	11649
344	6134	11646
345	6155	11635
346	6248	11758
347	6270	11747
348	6288	11730
349	6305	11710
350	6320	11687
351	6338	11668
352	6354	11647
353	6371	11626
354	6387	11604
355	6401	11580
356	6417	11558
357	6433	11536
358	6450	11517
359	6467	11496
360	6482	11473
361	6499	11455
362	6513	11430
363	6529	11408
364	6545	11387
365	6561	11366
366	6577	11345
367	6593	11323
368	6608	11300
369	6625	11280
370	6642	11261
371	6658	11240
372	6674	11219
373	6691	11200
374	6708	11180
375	6722	11156
376	6738	11135
377	6757	11120
378	6807	11154
379	6827	11139
380	6847	11124
381	6874	11121
382	6901	11118
383	6923	11106
384	6946	11096
385	6964	11077
386	6983	11060
387	7010	11057
388	7032	11045
389	7057	11038
390	7076	11022
391	7098	11009
392	7124	11004
393	7153	11001
394	7176	10991
395	7205	10990
396	7233	10987
397	7325	11080
398	7367	11097
399	7404	11106
400	7451	11130
401	7496	11151
402	7531	11157
403	7562	11156
404	7582	11139
405	7600	11120
406	7620	11102
407	7640	11086
408	7666	11077
409	7684	11058
410	7706	11044
411	7730	11033
412	7755	11022
413	7781	11014
414	7857	11076
415	7893	11081
416	7919	11071
417	7947	11065
418	7970	11051
419	8001	11049
420	8025	11037
421	8052	11028
422	8073	11013
423	8091	10992
424	8122	10989
425	8153	10986
426	8172	10966
427	8197	10955
428	8227	10951
429	8255	10942
430	8285	10938
431	8315	10932
432	8341	10922
433	8367	10912
434	8387	10893
435	8455	10937
436	8492	10941
437	8529	10944
438	8565	10946
439	8594	10938
440	8614	10919
441	8641	10909
442	8656	10884
443	8681	10871
444	8708	10861
445	8731	10845
446	8755	10831
447	8784	10823
448	8813	10815
449	8848	10814
450	8949	10893
451	8986	10895
452	9016	10887
453	9041	10873
454	9075	10870
455	9102	10859
456	9126	10844
457	9147	10824
458	9178	10818
459	9211	10813
460	9239	10803
461	9265	10789
462	9290	10775
463	9314	10760
464	9340	10746
465	9361	10727
466	9383	10710
467	9409	10696
468	9444	10692
469	9466	10674
470	9492	10661
471	9523	10653
472	9554	10645
473	9611	10665
