iter	Passed	Remaining
0	51	51622
1	79	39546
2	98	32580
3	132	32896
4	142	28398
5	154	25631
6	174	24801
7	188	23375
8	201	22228
9	212	21003
10	218	19600
11	226	18649
12	230	17480
13	242	17044
14	249	16376
15	255	15696
16	260	15044
17	266	14528
18	275	14236
19	284	13955
20	293	13659
21	298	13290
22	306	13037
23	323	13138
24	334	13039
25	348	13052
26	365	13186
27	376	13061
28	387	12979
29	419	13548
30	463	14481
31	472	14283
32	480	14077
33	485	13805
34	490	13518
35	497	13328
36	502	13067
37	506	12819
38	513	12642
39	517	12429
40	522	12223
41	528	12064
42	531	11823
43	535	11644
44	543	11525
45	547	11364
46	554	11234
47	561	11133
48	568	11026
49	573	10905
50	580	10805
51	588	10725
52	594	10628
53	603	10571
54	610	10494
55	617	10411
56	625	10344
57	631	10258
58	638	10183
59	645	10119
60	653	10064
61	661	10000
62	669	9961
63	676	9901
64	683	9830
65	688	9739
66	694	9667
67	700	9599
68	705	9521
69	711	9449
70	717	9382
71	723	9325
72	727	9236
73	734	9189
74	739	9123
75	746	9075
76	751	9010
77	756	8946
78	761	8878
79	766	8811
80	771	8749
81	780	8738
82	786	8691
83	795	8669
84	802	8636
85	808	8594
86	816	8570
87	822	8527
88	830	8499
89	837	8471
90	845	8443
91	851	8405
92	859	8385
93	866	8356
94	876	8349
95	885	8342
96	898	8362
97	906	8340
98	912	8304
99	917	8258
100	921	8199
101	923	8127
102	929	8092
103	934	8054
104	941	8029
105	945	7974
106	953	7957
107	962	7950
108	972	7946
109	979	7924
110	987	7905
111	994	7885
112	1001	7862
113	1010	7856
114	1057	8139
115	1071	8162
116	1087	8205
117	1096	8193
118	1123	8314
119	1203	8826
120	1221	8875
121	1231	8865
122	1241	8849
123	1249	8830
124	1258	8811
125	1269	8805
126	1280	8804
127	1289	8788
128	1300	8784
129	1311	8778
130	1321	8763
131	1330	8746
132	1337	8718
133	1346	8701
134	1353	8671
135	1362	8653
136	1366	8609
137	1376	8595
138	1383	8572
139	1395	8574
140	1401	8539
141	1410	8525
142	1417	8493
143	1425	8476
144	1434	8457
145	1442	8434
146	1449	8408
147	1458	8395
148	1465	8368
149	1472	8346
150	1483	8341
151	1493	8330
152	1502	8315
153	1510	8295
154	1517	8271
155	1522	8238
156	1530	8218
157	1533	8170
158	1540	8146
159	1546	8119
160	1554	8103
161	1562	8080
162	1569	8060
163	1574	8028
164	1581	8001
165	1586	7973
166	1593	7947
167	1600	7925
168	1607	7904
169	1616	7890
170	1626	7883
171	1635	7871
172	1642	7850
173	1649	7831
174	1655	7806
175	1662	7781
176	1668	7758
177	1674	7734
178	1680	7708
179	1686	7684
180	1690	7650
181	1695	7621
182	1703	7604
183	1710	7585
184	1717	7567
185	1727	7560
186	1735	7543
187	1743	7530
188	1751	7513
189	1759	7500
190	1766	7480
191	1774	7466
192	1777	7432
193	1781	7399
194	1788	7385
195	1795	7363
196	1801	7341
197	1809	7327
198	1815	7306
199	1822	7288
200	1828	7269
201	1837	7258
202	1843	7237
203	1850	7219
204	1857	7202
205	1863	7183
206	1872	7172
207	1879	7155
208	1888	7146
209	1894	7127
210	1905	7124
211	1912	7107
212	1919	7093
213	1926	7074
214	1932	7055
215	1940	7042
216	1948	7029
217	1955	7014
218	1964	7005
219	1970	6985
220	1973	6956
221	1980	6941
222	1988	6928
223	1994	6908
224	2000	6889
225	2006	6873
226	2021	6882
227	2096	7098
228	2108	7098
229	2117	7089
230	2131	7094
231	2143	7094
232	2154	7092
233	2165	7089
234	2176	7083
235	2183	7067
236	2190	7051
237	2197	7034
238	2206	7025
239	2214	7013
240	2223	7004
241	2232	6991
242	2240	6980
243	2246	6961
244	2255	6950
245	2262	6933
246	2269	6919
247	2276	6904
248	2286	6896
249	2295	6885
250	2303	6873
251	2309	6854
252	2316	6841
253	2325	6829
254	2333	6816
255	2340	6801
256	2349	6792
257	2356	6778
258	2365	6766
259	2371	6750
260	2380	6739
261	2388	6727
262	2395	6713
263	2402	6697
264	2409	6683
265	2418	6673
266	2427	6665
267	2435	6651
268	2450	6658
269	2458	6647
270	2464	6630
271	2473	6619
272	2480	6606
273	2487	6590
274	2495	6578
275	2501	6561
276	2507	6545
277	2513	6528
278	2521	6516
279	2528	6501
280	2536	6488
281	2543	6475
282	2552	6466
283	2559	6453
284	2568	6442
285	2575	6429
286	2584	6420
287	2593	6410
288	2603	6404
289	2610	6390
290	2617	6377
291	2623	6361
292	2630	6348
293	2636	6330
294	2641	6313
295	2647	6297
296	2652	6278
297	2662	6270
298	2672	6266
299	2684	6262
300	2694	6257
301	2714	6273
302	2723	6265
303	2734	6260
304	2742	6249
305	2751	6240
306	2757	6224
307	2765	6213
308	2770	6195
309	2776	6179
310	2781	6162
311	2787	6146
312	2793	6132
313	2798	6112
314	2802	6093
315	2808	6078
316	2813	6062
317	2819	6047
318	2825	6032
319	2831	6016
320	2838	6004
321	2844	5990
322	2850	5975
323	2857	5961
324	2862	5945
325	2867	5927
326	2874	5916
327	2881	5902
328	2888	5890
329	2893	5873
330	2899	5860
331	2907	5849
332	2913	5836
333	2920	5823
334	2928	5812
335	2935	5800
336	2944	5793
337	2948	5775
338	2955	5763
339	2961	5748
340	2966	5732
341	2972	5719
342	2978	5704
343	2983	5690
344	2987	5672
345	2991	5654
346	2995	5636
347	3000	5621
348	3004	5604
349	3009	5589
350	3014	5573
351	3018	5557
352	3023	5541
353	3028	5526
354	3034	5512
355	3037	5495
356	3043	5481
357	3047	5464
358	3051	5448
359	3055	5431
360	3090	5471
361	3096	5456
362	3102	5444
363	3107	5429
364	3115	5420
365	3121	5407
366	3130	5399
367	3136	5386
368	3144	5377
369	3149	5362
370	3155	5349
371	3161	5337
372	3167	5324
373	3172	5310
374	3179	5298
375	3184	5284
376	3188	5269
377	3196	5259
378	3200	5244
379	3206	5231
380	3211	5218
381	3216	5203
382	3221	5190
383	3227	5176
384	3232	5163
385	3238	5150
386	3242	5135
387	3246	5121
388	3252	5108
389	3257	5095
390	3261	5079
391	3265	5065
392	3270	5051
393	3274	5036
394	3278	5022
395	3283	5008
396	3288	4994
397	3292	4979
398	3295	4964
399	3300	4950
400	3305	4937
401	3309	4922
402	3313	4907
403	3317	4894
404	3320	4878
405	3325	4864
406	3329	4851
407	3333	4837
408	3338	4823
409	3342	4809
410	3346	4795
411	3351	4782
412	3355	4769
413	3359	4754
414	3364	4742
415	3368	4729
416	3372	4715
417	3377	4702
418	3382	4690
419	3386	4677
420	3390	4662
421	3394	4649
422	3398	4636
423	3402	4622
424	3406	4608
425	3410	4595
