iter	Passed	Remaining
0	19	19758
1	40	20295
2	59	19807
3	96	24008
4	116	23229
5	132	22027
6	152	21615
7	161	19971
8	176	19413
9	194	19238
10	213	19209
11	232	19124
12	249	18943
13	256	18058
14	272	17863
15	286	17619
16	301	17410
17	315	17234
18	326	16854
19	340	16697
20	351	16363
21	367	16325
22	370	15727
23	384	15622
24	400	15621
25	416	15606
26	432	15599
27	447	15541
28	457	15320
29	471	15260
30	487	15237
31	500	15148
32	514	15083
33	530	15058
34	549	15141
35	570	15267
36	589	15331
37	609	15437
38	628	15475
39	646	15506
40	662	15506
41	678	15465
42	694	15457
43	711	15454
44	727	15441
45	744	15433
46	759	15394
47	775	15379
48	791	15361
49	806	15321
50	822	15308
51	836	15245
52	851	15212
53	865	15167
54	881	15151
55	896	15109
56	911	15079
57	924	15010
58	939	14985
59	954	14960
60	970	14941
61	984	14890
62	1001	14888
63	1016	14865
64	1032	14851
65	1047	14822
66	1061	14787
67	1077	14774
68	1113	15029
69	1134	15072
70	1154	15101
71	1168	15066
72	1184	15042
73	1198	14998
74	1214	14983
75	1230	14963
76	1244	14922
77	1259	14889
78	1273	14852
79	1287	14803
80	1301	14771
81	1309	14664
82	1327	14669
83	1343	14650
84	1361	14655
85	1377	14643
86	1391	14601
87	1405	14564
88	1420	14540
89	1437	14532
90	1452	14510
91	1467	14480
92	1482	14459
93	1498	14440
94	1510	14391
95	1528	14390
96	1542	14362
97	1560	14365
98	1579	14371
99	1594	14348
100	1609	14326
101	1623	14297
102	1640	14285
103	1655	14266
104	1671	14251
105	1688	14237
106	1702	14207
107	1717	14185
108	1731	14153
109	1747	14136
110	1761	14109
111	1775	14076
112	1794	14083
113	1808	14054
114	1823	14032
115	1837	14006
116	1854	13999
117	1869	13975
118	1882	13939
119	1897	13914
120	1912	13895
121	1927	13870
122	1943	13857
123	1952	13794
124	1971	13802
125	1978	13725
126	2000	13748
127	2018	13752
128	2039	13767
129	2059	13785
130	2080	13798
131	2098	13797
132	2137	13931
133	2155	13930
134	2185	14006
135	2200	13982
136	2214	13951
137	2231	13941
138	2245	13910
139	2262	13898
140	2277	13873
141	2295	13866
142	2311	13854
143	2326	13831
144	2335	13770
145	2340	13691
146	2354	13664
147	2374	13667
148	2392	13664
149	2411	13664
150	2544	14306
151	2574	14360
152	2605	14423
153	2630	14452
154	2653	14465
155	2683	14517
156	2703	14517
157	2726	14530
158	2750	14547
159	2771	14549
160	2793	14558
161	2812	14550
162	2877	14775
163	2904	14808
164	2913	14745
165	2929	14719
166	2934	14639
167	2951	14617
168	2968	14598
169	2983	14568
170	2990	14497
171	3005	14468
172	3021	14443
173	3035	14411
174	3052	14388
175	3067	14361
176	3085	14344
177	3100	14319
178	3145	14425
179	3152	14363
180	3174	14363
181	3192	14350
182	3207	14320
183	3222	14289
184	3236	14260
185	3250	14223
186	3266	14199
187	3286	14194
188	3305	14186
189	3321	14160
190	3336	14131
191	3352	14108
192	3366	14076
193	3381	14047
194	3395	14018
195	3404	13965
196	3420	13940
197	3434	13913
198	3448	13880
199	3462	13850
200	3478	13827
