iter	Logloss
0	0.6679225655
1	0.6428074129
2	0.6159036152
3	0.5865093711
4	0.5656048094
5	0.5431054912
6	0.5203029073
7	0.5070148271
8	0.4891144709
9	0.473481755
10	0.4573327462
11	0.4418817189
12	0.4296558348
13	0.4242349243
14	0.4136100314
15	0.4026846533
16	0.3927840099
17	0.3863704
18	0.3813469014
19	0.3706994594
20	0.3674117234
21	0.3614197938
22	0.3602606921
23	0.3512588871
24	0.3444035845
25	0.3409232538
26	0.3355024928
27	0.3289544747
28	0.3264127485
29	0.3240788475
30	0.3214717607
31	0.319009701
32	0.3157191294
33	0.3118726857
34	0.3082756985
35	0.3056725214
36	0.3014574225
37	0.2983362575
38	0.2974950923
39	0.2961556942
40	0.2946450504
41	0.2928326157
42	0.2908348091
43	0.288900085
44	0.2870516371
45	0.283896385
46	0.2811027493
47	0.2793918329
48	0.2782692716
49	0.2773592438
50	0.2756501609
51	0.2737587463
52	0.2729599031
53	0.2718808408
54	0.2711392693
55	0.2690452722
56	0.2688113917
57	0.2682169225
58	0.2663146616
59	0.2654754031
60	0.2640234774
61	0.2634367167
62	0.2626964106
63	0.2623640979
64	0.2616366958
65	0.260922745
66	0.2602485964
67	0.259559239
68	0.2586034868
69	0.257840613
70	0.2570914418
71	0.2565090852
72	0.256149768
73	0.2553143217
74	0.2545626936
75	0.2531079074
76	0.2516078419
77	0.2513986125
78	0.2507011028
79	0.2492924748
80	0.2488382035
81	0.2485763295
82	0.2482240533
83	0.2476060555
84	0.2473247009
85	0.246809277
86	0.2462338619
87	0.2460375406
88	0.2456446701
89	0.2450556371
90	0.2445169861
91	0.2440117431
92	0.2434042461
93	0.2427545716
94	0.241850028
95	0.2415895876
96	0.2410213525
97	0.2400712843
98	0.239258443
99	0.2385917099
100	0.2379363641
101	0.2375312464
102	0.2373371603
103	0.2362790235
104	0.2355733316
105	0.2354659723
106	0.2349902371
107	0.2346291121
108	0.2344301538
109	0.2339525211
110	0.2337683829
111	0.2336137602
112	0.2329336147
113	0.2326017589
114	0.2323241523
115	0.2317577332
116	0.231568668
117	0.2307324903
118	0.2305826257
119	0.2304526008
120	0.2301126266
121	0.2296603691
122	0.2292458269
123	0.2292106737
124	0.2287829772
125	0.2287443944
126	0.2285118014
127	0.2278029481
128	0.2273932008
129	0.226757859
130	0.2260921654
131	0.2257883391
132	0.2253709584
133	0.2252697611
134	0.2251045655
135	0.2242179175
136	0.2239082709
137	0.2236763545
138	0.2234791936
139	0.223322406
140	0.2230460457
141	0.222802499
142	0.2225206141
143	0.2221688633
144	0.2221187905
145	0.2221171711
146	0.2216154445
147	0.2214000273
148	0.2211091879
149	0.2206495319
150	0.2204269032
151	0.220147905
152	0.2200274981
153	0.2198164188
154	0.219617294
155	0.2194500132
156	0.2194483898
157	0.2192211196
158	0.2190657678
159	0.2186898667
160	0.218577687
161	0.2184265625
162	0.2181490898
163	0.217992613
164	0.2179861131
165	0.2177285315
166	0.2177283243
167	0.2174760226
168	0.217107728
169	0.2168870746
170	0.2168756981
171	0.2166043955
172	0.2157213866
173	0.2155156717
174	0.2153374224
175	0.215292511
176	0.2150204701
177	0.2149647505
178	0.2145921853
179	0.2145758379
180	0.2144824214
181	0.2141834995
182	0.214126628
183	0.2138900576
184	0.2134155183
185	0.2131125911
186	0.2127123237
187	0.2120484311
188	0.2115883159
189	0.2112618686
190	0.211127872
191	0.2109228517
192	0.2107535868
193	0.2105605061
194	0.2103070663
195	0.2101909438
196	0.2099183875
197	0.2097516713
198	0.2096172865
199	0.2091988781
200	0.2089138266
201	0.2087220451
202	0.2084621128
203	0.2083086568
204	0.2080179593
205	0.2077862087
206	0.20769536
207	0.2075147048
208	0.207077547
209	0.2068070514
210	0.2066011409
211	0.2058368933
212	0.205702541
213	0.2052726191
214	0.2049896828
215	0.2049555427
216	0.2046624047
217	0.2044120751
218	0.2041983002
219	0.2040502592
220	0.2037029746
221	0.2035555645
222	0.2032554577
223	0.2029413313
224	0.2029276915
225	0.2027571083
226	0.2024245897
227	0.202274489
