iter	Passed	Remaining
0	6	6269
1	10	5166
2	13	4438
3	18	4510
4	20	4166
5	24	4108
6	30	4262
7	34	4264
8	38	4263
9	42	4185
10	47	4266
11	51	4256
12	55	4191
13	60	4266
14	64	4243
15	66	4090
16	69	4042
17	76	4155
18	83	4288
19	94	4622
20	106	4942
21	115	5126
22	123	5244
23	147	5997
24	162	6330
25	170	6376
26	177	6394
27	187	6502
28	201	6743
29	210	6794
30	220	6881
31	228	6926
32	236	6939
33	245	6961
34	252	6951
35	258	6911
36	264	6882
37	272	6900
38	281	6929
39	288	6933
40	295	6910
41	304	6950
42	312	6945
43	320	6966
44	327	6945
45	336	6972
46	345	7011
47	354	7038
48	361	7007
49	368	7005
50	375	6992
51	384	7014
52	390	6974
53	396	6953
54	403	6930
55	409	6897
56	416	6882
57	421	6844
58	425	6793
59	433	6792
60	440	6787
61	447	6777
62	453	6748
63	459	6716
64	464	6679
65	467	6610
66	472	6584
67	478	6561
68	486	6558
69	537	7140
70	544	7118
71	549	7088
72	554	7043
73	560	7009
74	564	6961
75	570	6930
76	575	6893
77	579	6854
78	584	6816
79	589	6775
80	594	6749
81	599	6712
82	605	6690
83	609	6644
84	614	6613
85	619	6579
86	623	6542
87	628	6509
88	632	6472
89	640	6477
90	649	6484
91	661	6524
92	668	6522
93	675	6515
94	743	7078
95	765	7210
96	776	7229
97	787	7252
98	794	7229
99	808	7277
100	815	7260
101	826	7274
102	835	7272
103	854	7360
104	880	7506
105	890	7507
106	928	7745
107	976	8066
108	993	8120
109	1030	8335
110	1050	8413
111	1067	8464
112	1079	8475
113	1091	8485
114	1101	8476
115	1111	8474
116	1123	8478
117	1134	8479
118	1143	8466
119	1147	8415
120	1154	8390
121	1163	8373
122	1170	8344
123	1178	8323
124	1181	8269
125	1187	8236
126	1194	8213
127	1202	8191
128	1206	8148
129	1213	8122
130	1223	8113
131	1231	8099
132	1237	8070
133	1245	8051
134	1259	8072
135	1274	8095
136	1281	8074
137	1288	8047
138	1293	8014
139	1299	7981
140	1307	7965
141	1314	7943
142	1325	7941
143	1336	7945
144	1346	7939
145	1356	7935
146	1364	7915
147	1374	7911
148	1379	7879
149	1388	7865
150	1394	7841
151	1399	7805
152	1408	7798
153	1421	7808
154	1429	7790
155	1435	7769
156	1443	7751
157	1452	7741
158	1459	7718
159	1467	7703
160	1473	7676
161	1480	7660
162	1486	7634
163	1495	7622
164	1502	7605
165	1510	7588
166	1516	7563
167	1563	7742
168	1595	7844
169	1603	7828
170	1613	7820
171	1620	7798
172	1628	7786
173	1636	7769
174	1645	7759
175	1654	7745
176	1664	7740
177	1670	7712
178	1677	7695
179	1683	7667
180	1689	7644
181	1695	7621
182	1703	7604
183	1707	7573
184	1711	7537
185	1718	7518
186	1726	7505
187	1731	7480
188	1742	7477
189	1747	7451
190	1755	7435
191	1763	7419
192	1770	7404
193	1778	7390
194	1788	7381
195	1794	7362
196	1799	7335
197	1805	7311
198	1812	7296
199	1821	7285
200	1830	7277
201	1848	7303
202	1857	7292
203	1867	7285
204	1877	7281
205	1910	7365
206	1926	7379
207	1943	7400
208	1957	7408
209	1971	7414
210	1982	7415
211	1989	7394
212	1998	7382
213	2003	7359
214	2010	7341
215	2016	7320
216	2023	7302
217	2053	7364
218	2068	7378
219	2081	7379
220	2090	7369
221	2105	7379
222	2116	7374
223	2129	7378
224	2139	7369
225	2143	7342
226	2152	7329
227	2162	7322
228	2170	7308
229	2178	7294
230	2185	7275
231	2193	7261
232	2199	7241
233	2207	7227
234	2214	7208
235	2222	7194
236	2228	7174
237	2237	7163
238	2243	7143
239	2253	7135
240	2260	7117
241	2266	7098
242	2271	7077
243	2277	7055
244	2285	7042
245	2292	7025
246	2298	7006
247	2303	6985
248	2309	6966
249	2317	6951
250	2323	6933
251	2326	6906
252	2334	6893
253	2339	6870
254	2344	6850
255	2352	6837
256	2357	6816
257	2364	6801
258	2371	6784
259	2376	6764
260	2383	6748
261	2388	6727
262	2394	6709
263	2401	6693
264	2407	6676
265	2413	6661
266	2417	6636
267	2423	6618
268	2429	6603
269	2437	6590
270	2444	6576
271	2450	6558
272	2458	6546
273	2467	6537
274	2481	6543
275	2491	6536
276	2501	6528
277	2512	6524
278	2520	6513
279	2531	6509
280	2544	6510
281	2551	6495
282	2771	7022
283	2816	7099
284	2829	7098
285	2843	7099
286	2859	7104
287	2875	7108
288	2888	7105
289	2896	7092
290	2904	7075
291	2917	7075
292	2945	7107
293	2955	7098
294	2966	7089
295	2976	7079
296	2984	7064
297	2995	7055
298	3000	7034
299	3008	7019
300	3017	7008
301	3024	6990
302	3033	6978
303	3047	6977
304	3054	6960
305	3063	6948
306	3071	6933
307	3078	6916
308	3085	6899
309	3093	6884
310	3104	6876
311	3113	6866
312	3123	6856
313	3131	6841
314	3139	6827
315	3150	6820
316	3161	6810
317	3171	6801
318	3180	6789
319	3199	6798
320	3214	6799
321	3231	6803
322	3243	6797
323	3253	6787
324	3260	6772
325	3268	6756
326	3275	6740
327	3282	6725
328	3292	6714
329	3300	6701
330	3310	6691
331	3316	6673
332	3326	6662
333	3331	6643
334	3337	6624
335	3343	6608
336	3349	6590
337	3356	6574
338	3361	6554
339	3367	6537
340	3373	6520
341	3379	6501
342	3384	6483
343	3390	6465
344	3397	6449
345	3404	6435
346	3412	6421
347	3422	6412
348	3431	6401
349	3441	6391
350	3450	6380
351	3457	6365
352	3466	6353
353	3474	6340
354	3482	6326
355	3493	6319
356	3507	6317
357	3517	6308
358	3526	6296
359	3535	6284
360	3545	6275
361	3553	6262
362	3559	6246
363	3566	6231
364	3573	6216
365	3582	6204
366	3589	6191
367	3597	6178
368	3605	6166
369	3617	6159
370	3626	6148
371	3635	6137
372	3643	6124
373	3652	6112
374	3660	6100
375	3668	6087
376	3677	6076
377	3686	6065
378	3694	6053
379	3702	6040
380	3715	6037
381	3726	6028
382	3735	6017
383	3741	6002
384	3748	5988
385	3761	5982
386	3873	6135
387	3880	6120
388	3887	6106
389	3895	6092
390	3902	6078
391	3911	6066
392	3919	6054
393	3927	6041
394	3937	6031
395	3943	6014
396	3948	5997
397	3955	5983
398	3961	5967
399	3968	5952
400	3974	5936
401	3986	5930
402	3993	5916
403	4000	5902
404	4007	5887
405	4015	5874
406	4022	5860
407	4029	5846
408	4037	5833
409	4042	5817
410	4048	5802
411	4056	5789
412	4065	5777
413	4075	5768
414	4085	5758
415	4092	5745
416	4100	5732
417	4107	5718
418	4114	5704
419	4120	5689
420	4126	5675
421	4132	5660
422	4137	5644
423	4144	5630
424	4151	5616
425	4157	5601
426	4163	5587
427	4171	5574
428	4178	5562
429	4185	5548
430	4193	5535
431	4198	5520
432	4207	5509
433	4213	5494
434	4220	5482
435	4227	5468
436	4233	5454
437	4246	5448
438	4254	5436
439	4260	5422
440	4265	5407
441	4272	5394
442	4278	5379
443	4284	5364
444	4292	5354
445	4298	5339
446	4305	5326
447	4312	5313
448	4321	5303
449	4329	5291
450	4334	5276
451	4342	5264
452	4347	5250
453	4356	5239
454	4363	5227
455	4371	5214
456	4378	5202
457	4386	5190
458	4390	5174
459	4397	5162
460	4402	5147
461	4408	5133
462	4413	5119
463	4419	5104
464	4426	5093
465	4434	5081
466	4440	5068
467	4447	5055
468	4452	5041
469	4457	5026
470	4463	5012
471	4469	4999
472	4474	4985
473	4480	4971
474	4486	4958
475	4491	4944
476	4497	4930
477	4502	4917
478	4508	4904
479	4514	4890
480	4520	4877
481	4526	4864
482	4531	4850
483	4535	4835
484	4542	4823
485	4547	4809
486	4554	4797
487	4561	4785
488	4568	4774
489	4574	4760
490	4581	4749
491	4590	4740
492	4599	4729
493	4607	4719
494	4616	4709
495	4621	4696
496	4628	4684
497	4637	4674
498	4646	4665
499	4657	4657
500	4666	4647
501	4674	4637
502	4681	4626
503	4690	4615
504	4698	4605
505	4705	4594
506	4712	4582
507	4721	4572
508	4730	4563
509	4737	4551
510	4741	4537
511	4748	4525
512	4754	4513
513	4763	4503
514	4768	4491
515	4774	4478
516	4781	4466
517	4787	4455
518	4793	4442
519	4799	4430
520	4805	4417
521	4810	4405
522	4817	4394
523	4823	4382
524	4832	4372
525	4846	4366
526	4920	4416
527	4928	4405
528	4935	4393
529	4940	4381
530	4947	4369
531	4956	4360
532	4965	4350
533	4972	4339
534	4979	4328
535	4985	4315
536	4992	4304
537	4999	4293
538	5005	4281
539	5012	4269
540	5019	4258
541	5025	4246
542	5030	4233
543	5038	4223
544	5051	4216
545	5060	4207
546	5067	4197
547	5076	4187
548	5089	4180
549	5092	4166
550	5105	4160
551	5110	4147
552	5116	4136
553	5124	4125
554	5129	4112
555	5134	4100
556	5141	4089
557	5146	4076
558	5153	4065
559	5158	4053
560	5165	4041
561	5172	4030
562	5176	4017
563	5180	4005
564	5186	3993
565	5191	3980
566	5197	3968
567	5202	3956
568	5206	3944
569	5212	3932
570	5220	3921
571	5224	3909
572	5228	3896
573	5236	3886
574	5241	3874
575	5248	3863
576	5254	3851
577	5259	3840
578	5265	3828
579	5270	3816
580	5275	3804
581	5280	3792
582	5285	3780
583	5292	3769
584	5299	3759
585	5304	3747
586	5310	3736
587	5316	3724
588	5322	3714
589	5329	3703
590	5334	3692
591	5339	3680
592	5347	3669
593	5353	3659
594	5360	3648
595	5367	3638
596	5373	3627
597	5380	3617
598	5387	3606
599	5392	3595
600	5398	3584
601	5404	3572
602	5410	3562
603	5416	3551
604	5423	3541
605	5428	3529
606	5433	3517
607	5440	3507
608	5444	3495
609	5449	3484
610	5455	3473
611	5460	3461
612	5466	3451
613	5472	3440
614	5477	3429
615	5483	3418
616	5488	3406
617	5493	3395
618	5497	3383
619	5505	3374
620	5511	3363
621	5516	3352
622	5522	3341
623	5527	3330
624	5531	3318
625	5538	3308
626	5544	3298
627	5553	3289
628	5562	3280
629	5569	3271
630	5577	3261
631	5590	3254
632	5600	3247
633	5609	3238
634	5618	3229
635	5624	3219
636	5630	3208
637	5637	3198
638	5643	3188
639	5650	3178
640	5658	3169
641	5666	3159
642	5673	3149
643	5678	3139
644	5686	3129
645	5693	3120
646	5702	3111
647	5707	3100
648	5714	3090
649	5720	3080
650	5729	3071
651	5735	3061
652	5743	3052
653	5749	3041
654	5754	3031
655	5760	3020
656	5769	3011
657	5775	3001
658	5780	2991
659	5786	2981
660	5793	2971
661	5800	2961
662	5805	2950
663	5810	2940
664	5816	2930
665	5821	2919
666	5827	2909
667	5833	2899
668	5840	2889
669	5846	2879
670	5854	2870
671	5865	2862
