iter	Passed	Remaining
0	21	21651
1	40	20177
2	53	17721
3	76	18928
4	98	19539
5	120	19907
6	139	19733
7	159	19770
8	184	20361
9	209	20773
10	230	20690
11	253	20856
12	279	21243
13	308	21709
14	333	21888
15	364	22412
16	382	22125
17	418	22854
18	448	23164
19	471	23098
20	494	23071
21	517	23018
22	538	22865
23	560	22775
24	582	22700
25	604	22629
26	625	22544
27	645	22405
28	666	22307
29	686	22210
30	710	22217
31	731	22130
32	752	22037
33	773	21974
34	791	21813
35	812	21753
36	831	21646
37	852	21593
38	955	23533
39	981	23558
40	1013	23716
41	1045	23842
42	1070	23819
43	1092	23739
44	1115	23668
45	1139	23634
46	1162	23575
47	1184	23500
48	1203	23366
49	1214	23073
50	1236	22999
51	1256	22913
52	1277	22821
53	1298	22753
54	1322	22720
55	1343	22653
56	1365	22589
57	1387	22540
58	1408	22467
59	1432	22444
60	1454	22384
61	1477	22350
62	1505	22384
63	1538	22494
64	1564	22510
65	1588	22481
66	1609	22414
67	1632	22380
68	1653	22313
69	1675	22253
70	1693	22164
71	1717	22131
72	1738	22082
73	1757	21995
74	1779	21947
75	1799	21873
76	1822	21844
77	1846	21821
78	1863	21729
79	1877	21593
80	1896	21517
81	1917	21471
82	1938	21421
83	2051	22372
84	2078	22371
85	2102	22349
86	2120	22249
87	2380	24668
88	2400	24566
89	2422	24492
90	2441	24392
91	2463	24313
92	2485	24243
93	2504	24137
94	2524	24047
95	2544	23962
96	2566	23895
97	2588	23821
98	2612	23779
99	2639	23754
100	2667	23744
101	2691	23696
102	2718	23670
103	2743	23635
104	2767	23585
105	2776	23420
106	2801	23376
107	2823	23316
108	2846	23265
109	2865	23187
110	2889	23140
111	2912	23095
112	2935	23042
113	2957	22988
114	2975	22900
115	2998	22852
116	3019	22791
117	3041	22735
118	3169	23461
119	3194	23423
120	3221	23401
121	3252	23408
122	3278	23374
123	3298	23302
124	3316	23217
125	3336	23145
126	3357	23082
127	3379	23025
128	3400	22960
129	3424	22917
130	3445	22857
131	3465	22790
132	3485	22720
133	3506	22659
134	3528	22606
135	3553	22577
136	3574	22517
137	3595	22460
138	3617	22408
139	3639	22355
140	3660	22303
141	3671	22185
142	3704	22201
143	3718	22106
144	3747	22094
145	3774	22079
146	3804	22073
147	3824	22017
148	3832	21888
149	3854	21844
150	3876	21796
151	3897	21741
152	3917	21685
153	3939	21643
154	3963	21609
155	3978	21522
156	3999	21473
157	4021	21432
158	4042	21383
159	4064	21341
160	4086	21296
161	4107	21249
162	4130	21212
163	4154	21177
164	4386	22198
165	4411	22165
166	4438	22139
167	4467	22126
168	4494	22100
169	4516	22049
170	4539	22007
171	4565	21975
172	4591	21948
173	4617	21920
174	4625	21806
175	4647	21759
176	4667	21704
177	4692	21668
178	4713	21617
179	4733	21564
180	4755	21515
181	4778	21474
182	4799	21427
183	4819	21375
184	4838	21315
185	4861	21274
186	4890	21262
187	4910	21207
188	4939	21196
189	4968	21182
190	4996	21164
191	5019	21125
192	5042	21086
193	5062	21033
194	5071	20936
195	5094	20896
196	5115	20852
197	5135	20799
198	5155	20752
