iter	Logloss
0	0.6632210971
1	0.6296379781
2	0.604151407
3	0.5793051661
4	0.5538910692
5	0.5333729132
6	0.5124610154
7	0.4940087096
8	0.4765477094
9	0.4635366856
10	0.4480992928
11	0.4391355767
12	0.4265007859
13	0.4153201325
14	0.4047636247
15	0.3938786781
16	0.3895293632
17	0.3809708853
18	0.3735335452
19	0.3692652832
20	0.3624536002
21	0.3600819619
22	0.3551982665
23	0.3490858643
24	0.3450951187
25	0.3398840157
26	0.3354896072
27	0.331527932
28	0.327897017
29	0.3251305883
30	0.3215585032
31	0.3183785805
32	0.3160184219
33	0.3119366007
34	0.3104798662
35	0.3087037904
36	0.3059156089
37	0.3046593657
38	0.301707027
39	0.2997648844
40	0.2978157698
41	0.2961582128
42	0.2939745538
43	0.2919500105
44	0.2903560136
45	0.2890910512
46	0.2867475993
47	0.2847586037
48	0.2840036627
49	0.2837245209
50	0.2821280492
51	0.2805803596
52	0.2795009506
53	0.2773452182
54	0.2760272992
55	0.2743320263
56	0.2736223888
57	0.2728946646
58	0.2719906108
59	0.2711586637
60	0.2706518238
61	0.2688662235
62	0.2677900978
63	0.2664427208
64	0.2658499154
65	0.265065435
66	0.2639521222
67	0.2630664019
68	0.2620470633
69	0.261383995
70	0.2606109816
71	0.2592718091
72	0.2589635196
73	0.2584428286
74	0.2578103315
75	0.2574996443
76	0.2571072641
77	0.2560976431
78	0.2559265275
79	0.2557547869
80	0.2547419634
81	0.2538230257
82	0.2532904307
83	0.2528508672
84	0.2526456507
85	0.2521350163
86	0.2520910094
87	0.2512282382
88	0.2507953729
89	0.2499222088
90	0.2493168993
91	0.248955588
92	0.2483018023
93	0.2476805988
94	0.2473443453
95	0.2470364954
96	0.2462898077
97	0.2456941141
98	0.2454387395
99	0.2451504562
100	0.244892344
101	0.2445588823
102	0.2442510805
103	0.243621161
104	0.2432831242
105	0.2432087136
106	0.2430075962
107	0.242783393
108	0.2418803603
109	0.2415205126
110	0.2414511745
111	0.2411324503
112	0.2408078094
113	0.2401015318
114	0.2397359478
115	0.2393510119
116	0.2390264955
117	0.2388030551
118	0.2385646084
119	0.2380125925
120	0.237564769
121	0.2372287755
122	0.2366703827
123	0.2365997995
124	0.236329889
125	0.2359366598
126	0.2357545686
127	0.235512245
128	0.2352642717
129	0.2349809433
130	0.2345878461
131	0.2339605742
132	0.2334967243
133	0.2332079213
134	0.2330678895
135	0.2325970534
136	0.2321315287
137	0.2318521148
138	0.2316311405
139	0.2311819061
140	0.2308839685
141	0.2308299824
142	0.2305681186
143	0.2305437134
144	0.2301416893
145	0.2300421623
146	0.2298703707
147	0.229663204
148	0.2296542562
149	0.2293363567
150	0.2288310125
151	0.2285234549
152	0.2280128682
153	0.2274797133
154	0.2273426907
155	0.2272668648
156	0.2271299087
157	0.2267768041
158	0.2266254547
159	0.2263605769
160	0.2262100922
161	0.2259219305
162	0.2256942158
163	0.2254115518
164	0.2250965561
165	0.2249190034
166	0.2247409055
167	0.2244288189
168	0.2242372633
169	0.2240123315
170	0.2238224641
171	0.2236637981
172	0.2233656347
173	0.2232674686
174	0.2232509605
175	0.2227939013
176	0.2225283464
177	0.2223265097
178	0.2220949358
179	0.2217464511
180	0.2216381828
181	0.2214313345
182	0.2212842076
183	0.2210467674
184	0.2210188976
185	0.2204330418
186	0.2200567821
187	0.2197432178
188	0.2195488887
189	0.2191459945
190	0.2189923303
191	0.2188103955
192	0.218503592
193	0.2181274164
194	0.2181215896
195	0.2177379546
196	0.2176880256
197	0.217546116
198	0.2173174724
199	0.2172596365
200	0.2167233929
201	0.2163050505
202	0.2160133146
203	0.2159260259
204	0.2154935023
205	0.2153600833
206	0.2152214886
207	0.2150200521
208	0.2148477725
209	0.2147934323
210	0.2146731148
211	0.2145446326
212	0.2142636309
213	0.2139069732
214	0.2135950817
215	0.2133640332
216	0.2131977989
217	0.2130750035
218	0.2128372157
219	0.2127122522
220	0.2126964908
221	0.2124853959
222	0.2123954744
223	0.2123857221
224	0.212131734
225	0.2117631581
226	0.211703532
227	0.2115993517
228	0.2112591498
229	0.2110835871
230	0.2109507033
231	0.2106828115
232	0.2105460287
233	0.2102889227
234	0.2100202227
235	0.2096959277
236	0.2095222388
237	0.2091904004
238	0.2088375007
239	0.2087183612
240	0.2083700644
241	0.2083386796
242	0.2077788769
243	0.2075756559
244	0.2073389212
245	0.2069204251
246	0.2066454177
247	0.2064288031
248	0.2062435841
249	0.206034647
250	0.2058908205
251	0.2058831629
252	0.2056440892
253	0.2054997077
254	0.2051792125
255	0.2050048919
256	0.2045863078
257	0.2044590827
258	0.2044312225
259	0.2042087751
260	0.2040084879
261	0.2038856778
262	0.203759121
263	0.2035366757
264	0.2034385316
265	0.2034280344
266	0.2032712335
267	0.2028134817
268	0.2028011596
269	0.2027203595
270	0.2025223821
271	0.2023469066
272	0.2021775291
273	0.2021495743
274	0.2020406239
275	0.2019240661
276	0.2018031755
277	0.2017186187
278	0.2016361416
279	0.2015159481
280	0.2012825678
281	0.2011299956
282	0.2010617196
283	0.2009512662
284	0.2008075693
285	0.2005147199
286	0.2005082501
287	0.2003195106
288	0.2000127168
289	0.1998127785
290	0.1996979016
291	0.198996395
292	0.1988310892
293	0.19857772
294	0.1983957865
295	0.1982584855
296	0.1981009541
297	0.1979813932
298	0.1976677176
