iter	Logloss
0	0.6644494831
1	0.6460826997
2	0.6258811007
3	0.6020340771
4	0.5833136423
5	0.5644086029
6	0.5435939523
7	0.5253524291
8	0.5063671877
9	0.4934303349
10	0.4808019806
11	0.4682603581
12	0.457367603
13	0.4479242216
14	0.4356536272
15	0.4249175496
16	0.4178511739
17	0.4082171245
18	0.3990537534
19	0.3888638886
20	0.3825401693
21	0.3772678796
22	0.3719150625
23	0.3649423583
24	0.3566860877
25	0.3518919554
26	0.3444444396
27	0.342588722
28	0.3377355499
29	0.332096136
30	0.3291655308
31	0.3254683847
32	0.3199823083
33	0.3187709857
34	0.3141348048
35	0.3087246134
36	0.3039689493
37	0.299244931
38	0.2962948048
39	0.2944172363
40	0.290151264
41	0.2874285777
42	0.2842268167
43	0.2817811181
44	0.2794590863
45	0.2760643799
46	0.2742636837
47	0.271922758
48	0.2692956422
49	0.2668673497
50	0.2633399075
51	0.2609858237
52	0.2591527614
53	0.2574404016
54	0.2557670987
55	0.2547305802
56	0.2532182102
57	0.2529706132
58	0.2503417361
59	0.2497918057
60	0.247405986
61	0.246165812
62	0.2458770707
63	0.245702044
64	0.2444503527
65	0.2433961669
66	0.242316321
67	0.2415619692
68	0.2401027344
69	0.2390168506
70	0.2379752399
71	0.2370344508
72	0.235002355
73	0.2333595569
74	0.2327992461
75	0.2321990157
76	0.231271217
77	0.2295238735
78	0.2280386014
79	0.2251508845
80	0.2223683211
81	0.2209952203
82	0.2208053276
83	0.2188426814
84	0.2172746714
85	0.2156252469
86	0.2145497125
87	0.2135849442
88	0.2135198475
89	0.2131145779
90	0.2122518142
91	0.2109828037
92	0.2091488121
93	0.2081907604
94	0.2076700519
95	0.2060440831
96	0.2049172492
97	0.2046306513
98	0.2041164425
99	0.202465255
100	0.2021436157
101	0.2019840505
102	0.2007851487
103	0.2003622102
104	0.1989893903
105	0.1977928444
106	0.1967558588
107	0.1963892321
108	0.195400326
109	0.1948837174
110	0.194585228
111	0.1938953786
112	0.1928183894
113	0.1927367205
114	0.1926476073
115	0.1921257714
116	0.191204028
117	0.1908420658
118	0.1906252243
119	0.1898438639
120	0.1888519005
121	0.1882452537
122	0.1879549777
123	0.1877180835
124	0.1867323138
125	0.1864498778
126	0.1859742628
127	0.1850094588
128	0.1847081345
129	0.1839391812
130	0.183387454
131	0.1833483575
132	0.1833048008
133	0.1829999813
134	0.1824561964
135	0.1816969311
136	0.1814961969
137	0.1808307135
138	0.1802685453
139	0.1796430729
140	0.1791998773
141	0.1778851226
142	0.1768997108
143	0.1766280363
144	0.1761913431
145	0.175760697
146	0.1749859057
147	0.1743330968
148	0.1739429001
149	0.1736564372
150	0.1734354162
151	0.1729259636
152	0.1724564463
153	0.1723074354
154	0.1718044816
155	0.1715027483
156	0.1709889967
