iter	Passed	Remaining
0	8	8518
1	19	9857
2	23	7708
3	183	45645
4	300	59799
5	307	50931
6	316	44852
7	322	40027
8	329	36295
9	338	33534
10	345	31085
11	351	28944
12	357	27177
13	366	25823
14	372	24430
15	379	23318
16	385	22315
17	392	21428
18	396	20459
19	402	19720
20	408	19037
21	413	18388
22	421	17891
23	428	17430
24	434	16956
25	441	16554
26	447	16132
27	454	15783
28	460	15426
29	466	15086
30	473	14790
31	479	14508
32	485	14216
33	491	13964
34	496	13686
35	505	13532
36	513	13358
37	519	13159
38	524	12930
39	531	12751
40	540	12630
41	545	12452
42	553	12320
43	562	12214
44	570	12100
45	579	12027
46	589	11958
47	598	11875
48	605	11744
49	612	11644
50	619	11526
51	625	11402
52	634	11340
53	648	11364
54	662	11389
55	670	11299
56	678	11227
57	687	11166
58	694	11073
59	699	10966
60	706	10871
61	714	10810
62	720	10713
63	727	10638
64	733	10547
65	740	10484
66	746	10399
67	753	10324
68	759	10246
69	764	10157
70	769	10070
71	776	10005
72	782	9941
73	789	9880
74	794	9803
75	800	9732
76	807	9674
77	814	9630
78	820	9571
79	826	9509
80	831	9434
81	836	9367
82	841	9300
83	847	9245
84	852	9182
85	858	9119
86	862	9047
87	867	8992
88	875	8966
89	882	8927
90	889	8881
91	896	8850
92	904	8821
93	910	8777
94	918	8745
95	925	8713
96	934	8698
97	941	8661
98	945	8605
99	954	8591
100	964	8585
101	969	8537
102	973	8479
103	983	8472
104	990	8438
105	999	8430
106	1005	8394
107	1013	8370
108	1021	8347
109	1032	8354
110	1043	8358
111	1055	8367
112	1065	8362
113	1071	8326
114	1079	8308
115	1089	8300
116	1099	8297
117	1104	8258
118	1117	8272
119	1126	8260
120	1133	8236
121	1147	8258
122	1163	8296
123	1178	8327
124	1189	8329
125	1204	8355
126	1216	8365
127	1231	8389
128	1243	8398
129	1250	8371
130	1272	8440
131	1596	10497
132	1746	11382
133	1773	11458
134	1786	11447
135	1805	11468
136	1972	12424
137	1989	12427
138	2036	12615
139	2044	12559
140	2051	12500
141	2060	12449
142	2066	12384
143	2073	12327
144	2080	12267
145	2086	12207
146	2093	12150
147	2100	12089
148	2107	12038
149	2115	11989
150	2124	11945
151	2134	11907
152	2143	11864
153	2150	11816
154	2161	11781
155	2165	11714
156	2174	11673
157	2180	11622
158	2188	11577
159	2195	11525
160	2201	11473
161	2208	11423
162	2212	11361
163	2220	11320
164	2228	11277
165	2235	11231
166	2241	11182
167	2250	11144
168	2258	11104
169	2265	11058
170	2272	11017
171	2279	10973
172	2287	10932
173	2294	10892
174	2303	10859
175	2308	10810
176	2316	10770
177	2321	10722
178	2328	10679
179	2335	10638
180	2344	10606
181	2354	10582
182	2362	10548
183	2371	10515
184	2377	10474
185	2384	10436
186	2390	10394
187	2397	10353
188	2402	10308
189	2407	10264
190	2414	10225
191	2419	10182
192	2429	10159
193	2439	10136
194	2447	10101
195	2451	10057
196	2459	10025
197	2465	9988
198	2471	9949
199	2478	9912
200	2487	9888
201	2500	9877
202	2507	9843
203	2514	9810
204	2521	9780
205	2529	9750
206	2538	9723
207	2544	9689
208	2550	9653
209	2557	9619
210	2563	9585
