iter	Logloss
0	0.6707884553
1	0.6422064782
2	0.6195389997
3	0.5962700281
4	0.5738274868
5	0.5524614875
6	0.5332745146
7	0.5167588718
8	0.5026995704
9	0.4856416232
10	0.4729711148
11	0.4594837854
12	0.4493660767
13	0.4381438716
14	0.4281925161
15	0.4165042559
16	0.4058412436
17	0.3989255379
18	0.3898268464
19	0.382180583
20	0.3741185503
21	0.3684587522
22	0.3607455
23	0.3551603036
24	0.3475169606
25	0.3405042377
26	0.3344495813
27	0.3287156953
28	0.3229255756
29	0.3159831133
30	0.3107705232
31	0.305950352
32	0.3014577054
33	0.2968234177
34	0.2940492468
35	0.2913396563
36	0.2881328627
37	0.2847253409
38	0.2819098972
39	0.2799795038
40	0.2767251323
41	0.2740909512
42	0.2711043171
43	0.2678797816
44	0.2657598313
45	0.2635247708
46	0.2617548045
47	0.2589561155
48	0.257544778
49	0.2550127574
50	0.2523481522
51	0.2506595963
52	0.2478083542
53	0.2459344811
54	0.243349609
55	0.2427181398
56	0.2419122779
57	0.2401472398
58	0.2373456502
59	0.2351343695
60	0.23301141
61	0.2306394365
62	0.2305260469
63	0.2294991755
64	0.2276600306
65	0.2259524111
66	0.2246768516
67	0.2230576925
68	0.2215922867
69	0.220408443
70	0.2191106917
71	0.2170237699
72	0.2154851867
73	0.2139246163
74	0.2132328144
75	0.2120661611
76	0.2113571143
77	0.209513399
78	0.2094204233
79	0.2091652107
80	0.2077430924
81	0.2059312614
82	0.2055060769
83	0.2048969476
84	0.2048093641
85	0.203546224
86	0.2027239911
87	0.2016749742
88	0.2013664211
89	0.201261865
90	0.2000777281
91	0.1994237957
92	0.1980671493
93	0.196411582
94	0.1954715447
95	0.1945323936
96	0.1937296508
97	0.1924574527
98	0.1917604741
99	0.1916531529
100	0.1903586921
101	0.1899155886
102	0.1886159642
103	0.1882590185
104	0.1880605695
105	0.1873358048
106	0.1872654843
107	0.1869190814
108	0.1854737108
109	0.1849851894
110	0.184921053
111	0.1844192612
112	0.1830870818
113	0.1824313871
114	0.181432536
115	0.1813722779
116	0.1806956366
117	0.1792842268
118	0.1788985345
119	0.1788425984
120	0.1786945841
121	0.1786211136
122	0.1785574942
123	0.1777264894
124	0.1772690619
125	0.1765036546
126	0.175705925
127	0.1744476049
128	0.1737680349
129	0.1736925194
130	0.1733311972
131	0.1726822597
132	0.1723518646
133	0.1708744832
134	0.1708031988
135	0.1705399235
136	0.1699367144
137	0.1691652224
138	0.1690534135
139	0.1680004575
140	0.1674665828
141	0.1671120966
142	0.1663034657
143	0.1653402045
144	0.1649768415
145	0.1643982355
146	0.1642977446
147	0.1638723775
148	0.1628238283
149	0.1617613415
150	0.1617182315
151	0.1611467272
152	0.1600963281
153	0.15967242
154	0.1591136757
155	0.1589440722
156	0.158519308
157	0.1578437494
158	0.1576309441
159	0.1566581905
160	0.1565325225
161	0.1560407219
162	0.1560028099
163	0.1559471859
164	0.1558204611
165	0.1554701361
166	0.1552875696
167	0.1550079104
168	0.1542753664
169	0.1538814118
170	0.1533327884
171	0.1527132331
172	0.1517698201
173	0.1511497495
174	0.1508405351
175	0.1497038618
176	0.149596389
177	0.1488072685
178	0.148635296
179	0.1479978741
180	0.147421671
181	0.1470180891
182	0.1469897528
183	0.1467182638
184	0.1463649885
185	0.1462583129
186	0.1458468289
187	0.1454298452
188	0.1450325782
189	0.1444906955
190	0.1440112367
191	0.1439663076
192	0.1434643896
193	0.1434105116
194	0.1432967469
195	0.1420618648
196	0.1415427037
197	0.141514334
198	0.1409440008
199	0.1402683677
200	0.1396794438
201	0.1395785547
202	0.1392885371
203	0.1388225794
204	0.1378586994
205	0.1377423789
206	0.1375310648
207	0.1374181279
208	0.1371637341
209	0.136698847
210	0.1361388282
211	0.1354892856
212	0.1352287558
213	0.1351785449
214	0.1351611822
215	0.1349021179
216	0.1343597343
217	0.1340718962
218	0.1339646562
219	0.133934781
220	0.133664994
221	0.1331377622
222	0.1331224397
223	0.1328597119
224	0.1324153989
225	0.1323867633
226	0.1319849915
227	0.131959003
228	0.1312740651
229	0.1312463266
230	0.1311071435
231	0.1310754911
232	0.1310450965
233	0.1310198797
234	0.1304680612
235	0.1304412436
236	0.1303998845
237	0.1294876343
238	0.1288333924
239	0.1287098824
240	0.128651024
241	0.1285977836
242	0.1278346177
243	0.1269487315
244	0.1268349718
245	0.1266951039
246	0.1265839062
247	0.1258118639
248	0.1256668043
249	0.1254699951
250	0.1251722261
251	0.1245768279
252	0.124474017
253	0.1239111887
254	0.1237577281
255	0.1231227037
256	0.1228938849
257	0.1219546152
258	0.1216756539
259	0.1214339692
260	0.1202066552
261	0.120003472
262	0.1198895849
263	0.1190928534
264	0.1184158441
265	0.1179321659
266	0.1177255558
267	0.1175622422
268	0.1174846947
269	0.1173001035
270	0.1170673088
271	0.1165157493
272	0.1162865727
273	0.1161786906
274	0.1158714533
275	0.1156017897
276	0.1155506259
277	0.1152435461
278	0.1150976984
279	0.114619434
280	0.1140668175
281	0.1138586445
282	0.1134439542
283	0.1127095318
284	0.1122530729
285	0.1116211034
286	0.111495759
287	0.1113476088
288	0.1110812874
289	0.1105969047
290	0.1104880613
291	0.1104365085
292	0.1103264312
293	0.1099365946
294	0.1095047845
295	0.1092800997
296	0.1088673169
297	0.1086785351
298	0.1084575623
299	0.108000331
300	0.1078998956
301	0.1078118546
302	0.1076741566
303	0.1075498551
304	0.1074782778
305	0.1074217608
306	0.1072106598
307	0.1068777097
308	0.1066461843
309	0.1056677285
310	0.1054991616
311	0.1046888289
312	0.1046695658
313	0.1044821458
314	0.1042465614
315	0.1037614402
316	0.1033491413
317	0.1032003969
318	0.1029703876
319	0.1029487016
320	0.1029275485
321	0.1026387917
322	0.1024698356
323	0.1019813355
324	0.101508172
325	0.1014929679
326	0.1014500925
327	0.1005559504
328	0.09983223209
329	0.09981510988
330	0.09969197674
331	0.09941847149
332	0.09933832945
333	0.09912582955
334	0.09873847112
335	0.09820178905
336	0.09818581856
337	0.09763346919
338	0.09756364505
339	0.09753672508
340	0.09722732181
341	0.09696198763
342	0.09621476989
343	0.09618530541
344	0.09610808301
345	0.09556554181
346	0.09474271233
347	0.09419294153
348	0.09378843453
349	0.0932326578
350	0.09321812548
351	0.09282517109
352	0.09233001866
353	0.09212264861
354	0.09170668638
355	0.09122799025
356	0.09054392589
357	0.09050145556
358	0.09010366395
359	0.08995115998
360	0.08956128323
361	0.08920755589
362	0.08912819936
363	0.08860651744
364	0.08834474123
365	0.08752657905
366	0.0867689047
367	0.08653405709
368	0.08642738967
369	0.08601655111
370	0.08600178923
371	0.08596671486
372	0.08594958285
373	0.08591441475
374	0.0856366165
375	0.08561493995
376	0.08532072059
377	0.08512456244
378	0.08501365946
379	0.08482848275
380	0.08479320324
381	0.08466163667
382	0.08463678033
383	0.08460870328
384	0.08450331316
385	0.08438015601
386	0.0841653698
387	0.08387569244
388	0.08385279142
389	0.08382605452
390	0.08357242336
391	0.08344438041
392	0.08331033959
393	0.08327956133
394	0.08284787159
395	0.08264844214
396	0.08252843702
397	0.08201768162
398	0.0820062984
399	0.08180634778
400	0.08175551209
401	0.0810420214
402	0.08102241521
403	0.08094681684
404	0.0807754683
405	0.08055218188
406	0.08051013452
407	0.08048267292
408	0.08001694463
409	0.07976120586
410	0.07974166533
411	0.07953257324
412	0.07936933188
413	0.07930190768
414	0.0786231563
415	0.07827108215
416	0.07826071351
417	0.07788283389
418	0.07764115948
419	0.07717642626
420	0.07686592205
421	0.07682557027
422	0.07680353332
423	0.0767662436
424	0.07636829433
425	0.07603047038
426	0.07585615481
427	0.07558082447
428	0.07518510643
429	0.07501506918
430	0.07499141658
431	0.07496574468
432	0.07494743719
433	0.07490500778
434	0.07472119212
435	0.07454907969
436	0.07409906138
437	0.07351947664
438	0.07340482348
439	0.07310482012
440	0.0729200792
441	0.07284476431
442	0.07259222366
443	0.07258345741
444	0.07242560241
445	0.07238725814
446	0.07237390455
447	0.0720119716
448	0.07200478223
449	0.07190760602
450	0.07177252849
451	0.07174051102
452	0.07170417565
453	0.07164651905
454	0.07110305795
455	0.07063969693
456	0.07062737662
457	0.07057560947
458	0.07050774479
459	0.07035799215
460	0.07010017572
461	0.0699157779
462	0.06981332372
463	0.06946048679
464	0.06942893847
465	0.06940121906
466	0.06888523833
467	0.06869743305
468	0.06851365531
469	0.06802094817
470	0.06784812557
471	0.0677811328
472	0.06749683947
473	0.06748321277
474	0.06735304348
475	0.06732052304
476	0.06723062692
477	0.06709837217
478	0.06688102544
479	0.06679505273
480	0.06669542267
481	0.06656098108
482	0.0663530045
483	0.06627997201
484	0.06607313916
485	0.06605941603
486	0.06584647919
487	0.06583387038
488	0.06565257798
489	0.06544710122
490	0.06541030585
491	0.06539759958
492	0.06517576598
493	0.06508776536
494	0.06497022358
495	0.06481187812
496	0.0647427166
497	0.06470768975
498	0.06457747727
499	0.06449632971
500	0.06429151099
501	0.06394110601
502	0.06384994356
503	0.06360969032
504	0.06354041811
505	0.06330496789
506	0.06326578315
507	0.06322624966
508	0.0627173854
509	0.06219981363
510	0.06198949696
511	0.06176608649
512	0.06165636072
513	0.06156142539
514	0.06152230213
515	0.06150851418
516	0.06144953762
517	0.06138370355
518	0.06131591354
519	0.06094406844
520	0.06091974009
521	0.06084762019
522	0.06074146548
523	0.06072779333
524	0.06071741444
525	0.06059957504
526	0.06039757568
527	0.06035462406
528	0.05987874161
529	0.05986546831
530	0.05980693698
531	0.05942021515
532	0.05933571566
533	0.05907007639
534	0.05891267024
535	0.05890271654
536	0.05888838121
537	0.05887862497
538	0.05883040115
539	0.0588193113
540	0.05880675156
541	0.05874320276
542	0.05857042554
543	0.05841558041
544	0.05808541782
545	0.05791441129
546	0.05775023043
547	0.0577093043
548	0.05760016246
549	0.05759073418
550	0.05745635133
551	0.05744695841
552	0.05743755617
553	0.05742318087
554	0.05737465514
555	0.05729762858
556	0.05720272304
557	0.05717034134
558	0.05715932214
559	0.05714615
560	0.05712681818
561	0.05705859002
562	0.0568038556
563	0.05653396982
564	0.05627648029
565	0.05584925029
566	0.05562680515
567	0.05551062781
